Nationality,2017,2018,2019,2020,2021,2022,2023,Term,Status,Region
Afghanistan,42,44,35,23,118,306,153,Long,Refused,Southern Asia
Afghanistan,480,433,86,39,28,56,40,Short,Refused,Southern Asia
Afghanistan,153,108,149,114,284,194,421,Long,Granted,Southern Asia
Afghanistan,41,37,96,22,31,134,141,Short,Granted,Southern Asia
Albania,13,17,24,22,26,21,11,Long,Refused,Southern Europe
Albania,73,106,93,15,6,63,46,Short,Refused,Southern Europe
Albania,28,31,36,14,50,57,29,Long,Granted,Southern Europe
Albania,322,397,429,50,114,494,338,Short,Granted,Southern Europe
Algeria,32,13,23,15,15,60,54,Long,Refused,Northern Africa
Algeria,121,116,148,35,20,153,151,Short,Refused,Northern Africa
Algeria,38,51,45,176,62,77,58,Long,Granted,Northern Africa
Algeria,242,256,361,67,33,170,202,Short,Granted,Northern Africa
Angola,5,NA,NA,5,NA,8,0,Long,Refused,Middle Africa
Angola,25,54,27,NA,NA,12,24,Short,Refused,Middle Africa
Angola,0,6,4,NA,8,7,10,Long,Granted,Middle Africa
Angola,48,66,51,8,6,48,49,Short,Granted,Middle Africa
Armenia,NA,4,NA,0,0,NA,NA,Long,Refused,Western Asia
Armenia,5,NA,7,NA,NA,4,NA,Short,Refused,Western Asia
Armenia,15,23,12,13,17,30,18,Long,Granted,Western Asia
Armenia,168,158,268,33,25,230,217,Short,Granted,Western Asia
Azerbaijan,5,NA,8,NA,NA,0,13,Long,Refused,Western Asia
Azerbaijan,5,13,16,NA,NA,9,16,Short,Refused,Western Asia
Azerbaijan,12,18,15,12,26,34,17,Long,Granted,Western Asia
Azerbaijan,170,198,220,37,73,188,150,Short,Granted,Western Asia
Bahrain,NA,NA,NA,NA,NA,NA,NA,Long,Refused,Western Asia
Bahrain,4,10,7,NA,4,9,NA,Short,Refused,Western Asia
Bahrain,24,20,24,8,34,29,12,Long,Granted,Western Asia
Bahrain,244,211,241,42,76,191,94,Short,Granted,Western Asia
Bangladesh,63,112,88,51,61,120,89,Long,Refused,Southern Asia
Bangladesh,230,200,218,57,40,106,117,Short,Refused,Southern Asia
Bangladesh,138,129,155,137,161,356,247,Long,Granted,Southern Asia
Bangladesh,400,434,467,68,68,473,453,Short,Granted,Southern Asia
Belarus,NA,7,9,6,NA,8,8,Long,Refused,Eastern Europe
Belarus,51,85,101,21,5,8,11,Short,Refused,Eastern Europe
Belarus,40,49,51,41,65,138,75,Long,Granted,Eastern Europe
Belarus,1379,1421,1414,222,110,387,302,Short,Granted,Eastern Europe
Benin,0,NA,NA,0,NA,NA,NA,Long,Refused,Western Africa
Benin,9,5,5,NA,NA,7,NA,Short,Refused,Western Africa
Benin,NA,4,NA,NA,NA,10,NA,Long,Granted,Western Africa
Benin,18,17,26,4,0,NA,7,Short,Granted,Western Africa
Bhutan,0,0,0,0,NA,0,0,Long,Refused,Southern Asia
Bhutan,0,NA,NA,0,0,0,0,Short,Refused,Southern Asia
Bhutan,NA,0,0,0,NA,0,NA,Long,Granted,Southern Asia
Bhutan,12,13,8,NA,0,NA,NA,Short,Granted,Southern Asia
Bosnia and Herzegovina,10,6,8,4,7,7,NA,Long,Refused,Southern Europe
Bosnia and Herzegovina,14,21,38,7,NA,7,10,Short,Refused,Southern Europe
Bosnia and Herzegovina,31,28,30,27,27,52,10,Long,Granted,Southern Europe
Bosnia and Herzegovina,406,526,386,110,60,320,244,Short,Granted,Southern Europe
Burkina Faso,0,NA,NA,0,6,0,NA,Long,Refused,Western Africa
Burkina Faso,NA,NA,4,0,NA,NA,4,Short,Refused,Western Africa
