"Nationality","2017","2018","2019","2020","2021","2022","2023"
"Afghanistan","153","108","149","114","284","194","421"
"Albania","28","31","36","14","50","57","29"
"Algeria","38","51","45","176","62","77","58"
"Angola","0","6","4","*","8","7","10"
"Armenia","15","23","12","13","17","30","18"
"Azerbaijan","12","18","15","12","26","34","17"
"Bahrain","24","20","24","8","34","29","12"
"Bangladesh","138","129","155","137","161","356","247"
"Belarus","40","49","51","41","65","138","75"
"Benin","*","4","*","*","*","10","*"
"Bhutan","*","0","0","0","*","0","*"
"Bosnia and Herzegovina","31","28","30","27","27","52","10"
"Burkina Faso","*","*","*","*","*","*","*"
"Burundi","9","6","4","0","6","*","8"
"Cabo Verde","*","*","0","*","0","*","*"
"Cambodia","6","*","6","5","5","43","8"
"Cameroon","30","22","39","19","39","50","28"
"Central African Republic (the)","4","0","0","0","0","*","0"
"Chad","0","*","0","0","0","*","0"
"China","3198","3418","3797","2436","3062","4063","5097"
"Colombia","68","84","83","56","76","270","198"
"Comoros (the)","0","0","0","*","0","0","0"
"Congo (the Democratic Republic of the)","59","42","134","107","53","66","38"
"Congo (the)","*","8","7","4","*","7","5"
"Côte d'Ivoire","6","*","4","5","11","16","6"
"Cuba","5","9","15","6","8","18","9"
"Djibouti","0","0","0","0","0","*","0"
"Dominican Republic (the)","4","7","12","5","9","11","7"
"Ecuador","24","15","19","12","15","31","30"
"Egypt","563","502","449","342","340","636","323"
"Equatorial Guinea","*","0","0","0","0","0","0"
"Eritrea","5","5","22","11","12","4","4"
"Ethiopia","60","49","65","27","79","58","35"
"Faroe Islands (the)","0","0","0","0","0","0","0"
"Gabon","*","0","0","*","*","*","*"
"Gambia (the)","*","5","*","*","*","4","5"
"Georgia","30","35","45","14","48","98","46"
"Ghana","77","67","104","86","87","245","244"
"Guinea","5","13","*","*","10","25","*"
"Guinea-Bissau","0","0","0","0","*","0","0"
"Haiti","4","*","*","4","0","5","0"
"India","6906","8575","12371","8963","14600","25385","17074"
"Indonesia","73","86","91","78","157","231","175"
"Iran (Islamic Republic of)","108","122","229","157","197","355","186"
"Iraq","148","86","104","39","52","81","39"
"Jamaica","9","7","4","9","7","14","*"
"Jordan","56","78","90","75","94","137","94"
"Kazakhstan","49","54","73","53","62","103","61"
"Kenya","49","71","88","86","143","319","208"
"Korea (the Democratic People's Republic of) North Korea","0","0","0","0","0","0","0"
"Kosovo","8","14","43","79","13","31","20"
"Kuwait","436","454","306","159","417","372","218"
"Kyrgyzstan","7","11","6","8","13","48","17"
"Lao People's Democratic Republic (the)","*","0","*","*","5","4","*"
"Lebanon","58","58","55","65","94","173","41"
"Liberia","4","*","0","*","*","11","11"
"Libya","24","48","45","42","35","52","26"
"Madagascar","*","5","4","*","*","*","*"
"Malawi","18","20","19","14","36","64","26"
"Mali","*","*","*","0","*","*","*"
"Marshall Islands (the)","0","0","0","0","0","0","0"
"Mauritania","0","*","0","0","0","0","0"
"Mauritius","29","37","24","29","36","65","21"
"Micronesia (Federated States of)","0","0","0","0","0","0","0"
"Moldova (the Republic of)","7","21","39","50","47","107","25"
"Mongolia","70","202","270","38","269","1328","659"
"Montenegro","*","*","4","0","*","5","6"
"Morocco","71","88","93","72","78","141","129"
"Mozambique","0","*","9","7","7","16","13"
"Myanmar","12","11","14","5","18","18","22"
"Namibia","*","*","11","7","16","17","*"
"Nepal","54","53","87","52","94","223","181"
"Niger (the)","0","0","*","*","0","0","0"
"Nigeria","589","836","1194","838","959","1630","1114"
"North Macedonia","13","6","10","9","9","23","12"
"Oman","211","223","193","165","167","123","40"
"Pakistan","1212","1020","932","862","1332","2468","1977"
"Palau","0","0","0","0","*","0","0"
"Palestine, State of","37","38","50","48","85","79","46"
"Papua New Guinea","0","0","0","0","*","0","*"
"Peru","37","25","33","16","22","96","39"
"Philippines (the)","1087","1068","1315","757","1109","2416","2054"
"Qatar","*","4","5","9","22","10","12"
"Russian Federation (the)","497","599","736","434","561","1490","584"
"Rwanda","*","0","9","*","11","13","11"
"Sao Tome and Principe","0","0","0","0","*","0","0"
"Saudi Arabia","945","966","705","495","585","469","210"
"Senegal","*","*","5","*","9","19","6"
"Serbia","53","54","50","48","41","63","28"
"Sierra Leone","6","5","*","8","23","19","20"
"Somalia","131","64","82","34","96","156","144"
"South Sudan","*","*","0","6","5","5","*"
"Sri Lanka","53","76","129","102","152","537","429"
"Sudan (the)","312","276","388","407","448","554","484"
"Suriname","*","0","0","*","0","0","0"
"Syrian Arab Republic (the)","188","184","293","154","86","107","40"
"Tajikistan","*","0","0","*","0","26","*"
"Tanzania, the United Republic of","16","16","19","22","23","59","41"
"Thailand","140","158","308","118","93","421","273"
"Timor-Leste","0","0","*","*","*","*","*"
"Togo","*","16","5","*","7","21","*"
"Tunisia","39","32","32","38","49","113","52"
"Turkiye","792","965","1526","825","1633","2940","1067"
"Turkmenistan","0","0","*","0","*","5","5"
"Uganda","44","53","49","52","62","144","111"
"Uzbekistan","11","14","12","15","19","36","30"
"Venezuela (Bolivarian Republic of)","49","37","26","21","21","39","27"
"Viet Nam","183","188","209","239","193","428","145"
"Yemen","19","22","10","8","23","36","12"
"Zambia","20","21","21","22","33","66","38"
"Zimbabwe","133","245","234","280","624","1140","709"
"*Other","365","331","661","404","766","68","4"
