"Nationality","2017","2018","2019","2020","2021","2022","2023"
"Afghanistan","41","37","96","22","31","134","141"
"Albania","322","397","429","50","114","494","338"
"Algeria","242","256","361","67","33","170","202"
"Angola","48","66","51","8","6","48","49"
"Armenia","168","158","268","33","25","230","217"
"Azerbaijan","170","198","220","37","73","188","150"
"Bahrain","244","211","241","42","76","191","94"
"Bangladesh","400","434","467","68","68","473","453"
"Belarus","1379","1421","1414","222","110","387","302"
"Benin","18","17","26","4","0","*","7"
"Bhutan","12","13","8","*","0","*","*"
"Bosnia and Herzegovina","406","526","386","110","60","320","244"
"Burkina Faso","19","20","18","5","*","14","6"
"Burundi","32","19","18","0","*","7","7"
"Cabo Verde","8","13","16","*","*","7","4"
"Cambodia","52","41","41","14","*","31","62"
"Cameroon","166","151","138","37","26","100","106"
"Central African Republic (the)","5","9","*","0","0","*","*"
"Chad","9","5","9","*","0","*","*"
"China","13055","16124","18468","1469","602","3385","7766"
"Colombia","1272","1368","1462","174","129","918","909"
"Comoros (the)","17","4","5","0","*","5","*"
"Congo (the Democratic Republic of the)","213","136","116","13","14","98","76"
"Congo (the)","17","7","16","12","0","12","10"
"Côte d'Ivoire","48","55","38","21","*","45","23"
"Cuba","84","136","259","7","7","56","37"
"Djibouti","10","8","6","0","0","7","*"
"Dominican Republic (the)","89","124","113","16","12","98","133"
"Ecuador","247","291","313","34","8","150","175"
"Egypt","1452","1650","1817","340","210","1171","1116"
"Equatorial Guinea","*","0","5","0","0","*","*"
"Eritrea","18","21","18","4","5","36","26"
"Ethiopia","237","292","254","20","33","176","186"
"Faroe Islands (the)","0","0","0","0","0","0","0"
"Gabon","10","13","21","4","0","6","4"
"Gambia (the)","24","31","13","13","13","17","10"
"Georgia","325","300","451","108","88","445","384"
"Ghana","314","370","346","64","68","280","219"
"Guinea","19","20","28","*","7","14","19"
"Guinea-Bissau","*","4","*","*","*","4","4"
"Haiti","42","69","21","4","*","5","12"
"India","17544","19704","23262","5076","3384","22756","23551"
"Indonesia","2599","3086","3382","470","150","678","590"
"Iran (Islamic Republic of)","722","721","634","119","83","574","522"
"Iraq","133","152","150","26","31","277","188"
"Jamaica","142","159","149","10","14","93","91"
"Jordan","623","747","725","119","97","596","489"
"Kazakhstan","422","469","388","67","51","219","253"
"Kenya","600","743","618","112","87","620","449"
"Korea (the Democratic People's Republic of) North Korea","*","*","0","0","0","0","0"
"Kosovo","228","176","175","23","26","179","83"
"Kuwait","1029","1128","1070","146","500","1000","573"
"Kyrgyzstan","64","55","47","17","10","44","29"
"Lao People's Democratic Republic (the)","16","17","7","9","0","13","7"
"Lebanon","947","980","1004","168","99","572","507"
"Liberia","22","20","14","4","0","20","10"
"Libya","31","45","98","10","10","48","27"
"Madagascar","21","26","28","9","*","23","24"
"Malawi","152","151","206","23","28","192","149"
"Mali","32","11","25","*","0","14","16"
"Marshall Islands (the)","0","0","*","0","0","*","0"
"Mauritania","4","*","7","0","*","*","*"
"Mauritius","261","244","338","36","32","238","167"
"Micronesia (Federated States of)","*","*","*","0","0","*","*"
"Moldova (the Republic of)","466","583","602","167","130","515","485"
"Mongolia","177","254","255","30","28","195","205"
"Montenegro","94","88","172","7","7","99","63"
"Morocco","704","880","946","144","94","534","489"
"Mozambique","50","29","35","5","4","48","35"
"Myanmar","69","93","95","5","5","49","43"
"Namibia","66","98","86","19","6","55","56"
"Nepal","237","240","261","50","34","281","211"
"Niger (the)","6","5","8","*","0","*","*"
"Nigeria","2926","3543","3000","572","556","3040","2396"
"North Macedonia","361","433","402","79","52","230","184"
"Oman","573","653","459","32","105","334","244"
"Pakistan","1961","2221","2183","476","414","2483","2321"
"Palau","*","0","13","*","0","*","*"
"Palestine, State of","243","269","247","33","25","202","163"
"Papua New Guinea","7","9","12","*","0","8","6"
"Peru","524","501","551","77","27","293","299"
"Philippines (the)","3065","3346","3426","671","377","2336","2081"
"Qatar","46","51","71","4","75","64","31"
"Russian Federation (the)","13101","13374","17191","2687","1041","2594","2146"
"Rwanda","56","60","42","7","5","45","34"
"Sao Tome and Principe","0","5","0","0","*","*","*"
"Saudi Arabia","2881","2772","2362","303","331","1163","768"
"Senegal","61","60","105","10","4","46","40"
"Serbia","1402","1258","1366","222","306","990","819"
"Sierra Leone","46","90","69","16","8","117","41"
"Somalia","7","24","36","*","10","50","43"
"South Sudan","0","8","10","0","*","8","6"
"Sri Lanka","704","592","709","147","81","460","462"
"Sudan (the)","750","878","772","70","144","789","383"
"Suriname","*","4","6","0","0","*","*"
"Syrian Arab Republic (the)","223","296","288","42","36","230","186"
"Tajikistan","9","16","20","5","5","18","15"
"Tanzania, the United Republic of","169","245","127","28","29","164","158"
"Thailand","1368","1398","1265","218","148","913","799"
"Timor-Leste","*","4","*","*","0","7","5"
"Togo","17","28","25","*","*","26","14"
"Tunisia","299","322","334","67","48","234","214"
"Turkiye","4393","4336","4090","830","571","3281","2817"
"Turkmenistan","13","13","5","0","5","11","11"
"Uganda","288","331","350","60","42","296","186"
"Uzbekistan","88","59","81","11","9","84","45"
"Venezuela (Bolivarian Republic of)","522","523","461","54","52","316","273"
"Viet Nam","734","815","865","93","34","497","468"
"Yemen","35","50","54","6","12","47","39"
"Zambia","209","200","161","48","20","114","180"
"Zimbabwe","468","576","494","80","138","417","333"
"*Other","4238","3784","4512","868","837","522","190"
