"Nationality","2017","2018","2019","2020","2021","2022","2023"
"Afghanistan","42","44","35","23","118","306","153"
"Albania","13","17","24","22","26","21","11"
"Algeria","32","13","23","15","15","60","54"
"Angola","5","*","*","5","*","8","0"
"Armenia","*","4","*","0","0","*","*"
"Azerbaijan","5","*","8","*","*","0","13"
"Bahrain","*","*","*","*","*","*","*"
"Bangladesh","63","112","88","51","61","120","89"
"Belarus","*","7","9","6","*","8","8"
"Benin","0","*","*","0","*","*","*"
"Bhutan","0","0","0","0","*","0","0"
"Bosnia and Herzegovina","10","6","8","4","7","7","*"
"Burkina Faso","0","*","*","0","6","0","*"
"Burundi","*","0","0","0","*","0","*"
"Cabo Verde","0","*","0","0","0","0","0"
"Cambodia","0","*","0","0","*","24","18"
"Cameroon","16","35","28","16","26","27","59"
"Central African Republic (the)","0","0","0","0","0","0","0"
"Chad","0","*","0","0","0","0","0"
"China","112","273","251","259","138","145","214"
"Colombia","54","82","78","21","27","183","84"
"Comoros (the)","0","0","0","0","0","0","0"
"Congo (the Democratic Republic of the)","16","13","18","6","22","12","17"
"Congo (the)","*","*","6","*","*","0","0"
"Côte d'Ivoire","7","10","4","4","5","6","6"
"Cuba","*","7","6","*","0","7","*"
"Djibouti","*","0","*","0","0","0","0"
"Dominican Republic (the)","*","5","*","*","*","0","*"
"Ecuador","5","8","16","*","4","40","13"
"Egypt","39","32","37","44","36","65","68"
"Equatorial Guinea","0","*","0","0","0","0","*"
"Eritrea","0","*","0","*","*","6","*"
"Ethiopia","11","11","14","7","13","18","7"
"Faroe Islands (the)","0","0","0","0","0","0","0"
"Gabon","0","*","0","0","*","*","*"
"Gambia (the)","0","*","4","*","*","*","5"
"Georgia","20","12","12","8","6","26","17"
"Ghana","37","47","53","56","97","53","56"
"Guinea","6","5","5","*","4","7","*"
"Guinea-Bissau","0","*","*","0","*","*","0"
"Haiti","0","0","*","*","0","*","0"
"India","856","646","479","247","408","1072","1126"
"Indonesia","8","19","4","*","9","4","7"
"Iran (Islamic Republic of)","23","89","32","17","37","73","61"
"Iraq","83","43","22","17","16","28","9"
"Jamaica","*","4","*","0","*","*","*"
"Jordan","8","5","27","14","31","28","15"
"Kazakhstan","8","5","27","8","0","18","29"
"Kenya","18","25","9","5","30","45","25"
"Korea (the Democratic People's Republic of) North Korea","0","0","0","0","0","0","0"
"Kosovo","*","8","11","53","56","5","10"
"Kuwait","7","5","25","26","7","6","7"
"Kyrgyzstan","6","6","8","*","0","37","28"
"Lao People's Democratic Republic (the)","0","*","0","0","0","*","0"
"Lebanon","8","5","4","*","7","4","9"
"Liberia","*","0","*","0","0","0","0"
"Libya","23","17","27","7","12","13","10"
"Madagascar","0","0","0","0","0","0","0"
"Malawi","14","18","16","14","10","12","18"
"Mali","0","0","0","0","0","0","0"
"Marshall Islands (the)","0","0","0","0","0","0","0"
"Mauritania","0","*","0","0","0","*","0"
"Mauritius","15","19","14","5","11","22","15"
"Micronesia (Federated States of)","0","0","0","0","0","0","0"
"Moldova (the Republic of)","10","7","17","*","15","32","6"
"Mongolia","57","124","216","104","131","427","112"
"Montenegro","0","*","*","*","0","0","0"
"Morocco","40","29","45","27","36","47","69"
"Mozambique","*","*","*","*","*","0","0"
"Myanmar","0","*","5","*","*","15","8"
"Namibia","*","*","0","0","*","0","0"
"Nepal","18","39","77","24","20","140","142"
"Niger (the)","*","*","0","0","0","0","0"
"Nigeria","208","366","723","585","579","594","657"
"North Macedonia","*","0","0","*","*","*","*"
"Oman","*","7","5","4","10","6","*"
"Pakistan","705","732","561","338","386","586","771"
"Palau","0","0","0","0","0","0","0"
"Palestine, State of","6","13","12","*","8","9","21"
"Papua New Guinea","0","0","0","0","0","0","0"
"Peru","23","27","18","*","*","59","22"
"Philippines (the)","79","130","109","83","96","130","133"
"Qatar","0","0","0","0","0","0","0"
"Russian Federation (the)","35","52","77","35","26","43","38"
"Rwanda","*","0","*","0","*","5","*"
"Sao Tome and Principe","0","0","0","0","0","0","0"
"Saudi Arabia","12","22","15","7","4","0","*"
"Senegal","*","*","5","*","*","4","4"
"Serbia","8","4","*","*","4","5","*"
"Sierra Leone","7","*","*","*","4","4","6"
"Somalia","14","17","7","18","32","22","11"
"South Sudan","0","*","0","*","0","0","0"
"Sri Lanka","15","18","26","22","20","63","31"
"Sudan (the)","32","16","27","21","31","48","43"
"Suriname","0","0","0","0","0","0","0"
"Syrian Arab Republic (the)","26","10","19","14","15","26","32"
"Tajikistan","*","0","*","0","*","*","*"
"Tanzania, the United Republic of","4","12","7","8","4","8","6"
"Thailand","30","87","75","18","18","27","22"
"Timor-Leste","0","0","0","0","0","0","0"
"Togo","*","*","10","4","4","11","5"
"Tunisia","17","13","13","13","7","22","22"
"Turkiye","97","141","178","90","47","214","780"
"Turkmenistan","0","0","*","*","*","*","0"
"Uganda","5","10","12","*","10","25","28"
"Uzbekistan","*","*","4","6","0","20","10"
"Venezuela (Bolivarian Republic of)","34","44","21","12","*","12","18"
"Viet Nam","109","62","54","39","37","118","40"
"Yemen","9","*","9","9","10","*","6"
"Zambia","8","14","8","6","11","6","4"
"Zimbabwe","25","36","33","23","42","54","44"
"*Other","44","44","68","36","47","13","*"
